NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,A,381.00,135.85
KL1771,AMS,BER,A,381.00,148.55
KL1771,AMS,BER,A,446.00,135.85
KL1771,AMS,BER,A,446.00,148.55
KL1771,AMS,BER,A,571.00,135.85
KL1771,AMS,BER,A,571.00,148.55
KL1771,AMS,BER,B,1188.00,135.85
KL1771,AMS,BER,B,1188.00,148.55
KL1771,AMS,BER,B,1263.00,135.85
KL1771,AMS,BER,B,1263.00,148.55
KL1771,AMS,BER,B,1403.00,135.85
KL1771,AMS,BER,B,1403.00,148.55
KL1771,AMS,BER,C,1899.00,135.85
KL1771,AMS,BER,C,1899.00,148.55
KL1771,AMS,BER,C,2089.00,135.85
KL1771,AMS,BER,C,2089.00,148.55
KL1771,AMS,BER,D,1441.00,135.85
KL1771,AMS,BER,D,1441.00,148.55
KL1771,AMS,BER,D,1621.00,135.85
KL1771,AMS,BER,D,1621.00,148.55
KL1771,AMS,BER,E,316.00,135.85
KL1771,AMS,BER,E,316.00,148.55
KL1771,AMS,BER,E,441.00,135.85
KL1771,AMS,BER,E,441.00,148.55
KL1771,AMS,BER,F,513.00,135.85
KL1771,AMS,BER,F,513.00,148.55
KL1771,AMS,BER,F,583.00,135.85
KL1771,AMS,BER,F,583.00,148.55
KL1771,AMS,BER,F,713.00,135.85
KL1771,AMS,BER,F,713.00,148.55
KL1771,AMS,BER,G,134.00,135.85
KL1771,AMS,BER,G,134.00,148.55
KL1771,AMS,BER,G,254.00,135.85
KL1771,AMS,BER,G,254.00,148.55
KL1771,AMS,BER,H,336.00,135.85
KL1771,AMS,BER,H,336.00,148.55
KL1771,AMS,BER,H,406.00,135.85
KL1771,AMS,BER,H,406.00,148.55
KL1771,AMS,BER,H,536.00,135.85
KL1771,AMS,BER,H,536.00,148.55
KL1771,AMS,BER,I,1120.00,135.85
KL1771,AMS,BER,I,1120.00,148.55
KL1771,AMS,BER,I,1290.00,135.85
KL1771,AMS,BER,I,1290.00,148.55
KL1771,AMS,BER,J,2549.00,135.85
KL1771,AMS,BER,J,2549.00,148.55
KL1771,AMS,BER,J,2749.00,135.85
KL1771,AMS,BER,J,2749.00,148.55
KL1771,AMS,BER,K,418.00,135.85
KL1771,AMS,BER,K,418.00,148.55
KL1771,AMS,BER,K,488.00,135.85
KL1771,AMS,BER,K,488.00,148.55
KL1771,AMS,BER,K,618.00,135.85
KL1771,AMS,BER,K,618.00,148.55
KL1771,AMS,BER,L,264.00,135.85
KL1771,AMS,BER,L,264.00,148.55
KL1771,AMS,BER,L,329.00,135.85
KL1771,AMS,BER,L,329.00,148.55
KL1771,AMS,BER,L,454.00,135.85
KL1771,AMS,BER,L,454.00,148.55
KL1771,AMS,BER,M,939.00,135.85
KL1771,AMS,BER,M,939.00,148.55
KL1771,AMS,BER,M,1014.00,135.85
KL1771,AMS,BER,M,1014.00,148.55
KL1771,AMS,BER,M,1154.00,135.85
KL1771,AMS,BER,M,1154.00,148.55
KL1771,AMS,BER,N,264.00,135.85
KL1771,AMS,BER,N,264.00,148.55
KL1771,AMS,BER,N,384.00,135.85
KL1771,AMS,BER,N,384.00,148.55
KL1771,AMS,BER,O,653.00,135.85
KL1771,AMS,BER,O,653.00,148.55
KL1771,AMS,BER,P,762.00,135.85
KL1771,AMS,BER,P,762.00,148.55
KL1771,AMS,BER,P,837.00,135.85
KL1771,AMS,BER,P,837.00,148.55
KL1771,AMS,BER,P,977.00,135.85
KL1771,AMS,BER,P,977.00,148.55
KL1771,AMS,BER,Q,308.00,135.85
KL1771,AMS,BER,Q,308.00,148.55
KL1771,AMS,BER,Q,373.00,135.85
KL1771,AMS,BER,Q,373.00,148.55
KL1771,AMS,BER,Q,498.00,135.85
KL1771,AMS,BER,Q,498.00,148.55
KL1771,AMS,BER,R,225.00,135.85
KL1771,AMS,BER,R,225.00,148.55
KL1771,AMS,BER,R,345.00,135.85
KL1771,AMS,BER,R,345.00,148.55
KL1771,AMS,BER,S,484.00,135.85
KL1771,AMS,BER,S,484.00,148.55
KL1771,AMS,BER,S,554.00,135.85
KL1771,AMS,BER,S,554.00,148.55
KL1771,AMS,BER,S,684.00,135.85
KL1771,AMS,BER,S,684.00,148.55
KL1771,AMS,BER,T,199.00,135.85
KL1771,AMS,BER,T,199.00,148.55
KL1771,AMS,BER,T,264.00,135.85
KL1771,AMS,BER,T,264.00,148.55
KL1771,AMS,BER,T,389.00,135.85
KL1771,AMS,BER,T,389.00,148.55
KL1771,AMS,BER,U,625.00,135.85
KL1771,AMS,BER,U,625.00,148.55
KL1771,AMS,BER,U,700.00,135.85
KL1771,AMS,BER,U,700.00,148.55
KL1771,AMS,BER,U,840.00,135.85
KL1771,AMS,BER,U,840.00,148.55
KL1771,AMS,BER,V,191.00,135.85
KL1771,AMS,BER,V,191.00,148.55
KL1771,AMS,BER,V,311.00,135.85
KL1771,AMS,BER,V,311.00,148.55
KL1771,AMS,BER,W,661.00,135.85
KL1771,AMS,BER,W,661.00,148.55
KL1771,AMS,BER,W,731.00,135.85
KL1771,AMS,BER,W,731.00,148.55
KL1771,AMS,BER,W,861.00,135.85
KL1771,AMS,BER,W,861.00,148.55
KL1771,AMS,BER,X,161.00,135.85
KL1771,AMS,BER,X,161.00,148.55
KL1771,AMS,BER,X,281.00,135.85
KL1771,AMS,BER,X,281.00,148.55
KL1771,AMS,BER,Y,1614.00,135.85
KL1771,AMS,BER,Y,1614.00,148.55
KL1771,AMS,BER,Y,1689.00,135.85
KL1771,AMS,BER,Y,1689.00,148.55
KL1771,AMS,BER,Y,1829.00,135.85
KL1771,AMS,BER,Y,1829.00,148.55
KL1771,AMS,BER,Z,834.00,135.85
KL1771,AMS,BER,Z,834.00,148.55
KL1771,AMS,BER,A,241.00,104.95
KL1771,AMS,BER,A,241.00,117.65
KL1771,AMS,BER,A,312.00,104.95
KL1771,AMS,BER,A,312.00,117.65
KL1771,AMS,BER,A,442.00,104.95
KL1771,AMS,BER,A,442.00,117.65
KL1771,AMS,BER,B,701.00,104.95
KL1771,AMS,BER,B,701.00,117.65
KL1771,AMS,BER,B,787.00,104.95
KL1771,AMS,BER,B,787.00,117.65
KL1771,AMS,BER,B,967.00,104.95
KL1771,AMS,BER,B,967.00,117.65
KL1771,AMS,BER,C,1271.00,104.95
KL1771,AMS,BER,C,1271.00,117.65
KL1771,AMS,BER,C,1471.00,104.95
KL1771,AMS,BER,C,1471.00,117.65
KL1771,AMS,BER,C,2597.00,104.95
KL1771,AMS,BER,C,2597.00,117.65
KL1771,AMS,BER,D,940.00,104.95
KL1771,AMS,BER,D,940.00,117.65
KL1771,AMS,BER,D,1130.00,104.95
KL1771,AMS,BER,D,1130.00,117.65
KL1771,AMS,BER,E,221.00,104.95
KL1771,AMS,BER,E,221.00,117.65
KL1771,AMS,BER,E,341.00,104.95
KL1771,AMS,BER,E,341.00,117.65
KL1771,AMS,BER,F,309.00,104.95
KL1771,AMS,BER,F,309.00,117.65
KL1771,AMS,BER,F,384.00,104.95
KL1771,AMS,BER,F,384.00,117.65
KL1771,AMS,BER,F,514.00,104.95
KL1771,AMS,BER,F,514.00,117.65
KL1771,AMS,BER,G,95.00,104.95
KL1771,AMS,BER,G,95.00,117.65
KL1771,AMS,BER,G,215.00,104.95
KL1771,AMS,BER,G,215.00,117.65
KL1771,AMS,BER,H,207.00,104.95
KL1771,AMS,BER,H,207.00,117.65
KL1771,AMS,BER,H,277.00,104.95
KL1771,AMS,BER,H,277.00,117.65
KL1771,AMS,BER,H,397.00,104.95
